Year,City,Population,In-migration,Out-migration,Net-migration
2013,BITLIS,337156,11314,16174,-4860
2013,BOLU,283496,13138,12401,737
2013,BURDUR,257267,11156,10001,1155
2013,BURSA,2740970,75518,61744,13774
2013,CANAKKALE,502328,24766,18238,6528
2013,CANKIRI,190909,22290,16991,5299
2013,CORUM,532080,17073,21460,-4387
2013,DENIZLI,963464,27088,24039,3049
2013,DIYARBAKIR,1607437,35466,47949,-12483
2013,EDIRNE,398582,16255,17000,-745
2013,ELAZIG,568239,21433,21303,130
2013,ERZINCAN,219996,12662,12884,-222
2013,ERZURUM,766729,23398,39997,-16599
2013,ESKISEHIR,799724,33893,28329,5564
2013,GAZIANTEP,1844438,41978,42291,-313
2013,GIRESUN,425007,23453,20170,3283
2013,GUMUSHANE,141412,16677,11162,5515
2013,HAKKARI,273041,8007,10293,-2286
2013,HATAY,1503066,29067,39315,-10248
2013,ISPARTA,417774,18730,19807,-1077
2013,MERSIN,1705774,51468,55482,-4014
2013,ISTANBUL,14160467,437922,371601,66321
2013,IZMIR,4061074,113673,99681,13992
2013,KARS,300874,11046,18072,-7026
2013,KASTAMONU,368093,19911,15658,4253
2013,KAYSERI,1295355,36580,33789,2791
2013,KIRKLARELI,340559,14120,13297,823
2013,KIRSEHIR,223498,11259,11346,-87
2013,KOCAELI,1676202,71159,54742,16417
2013,KONYA,2079225,51080,55006,-3926
2013,KUTAHYA,572059,17875,20915,-3040
2013,MALATYA,762538,25876,33194,-7318
2013,MANISA,1359463,36257,36989,-732
2013,KAHRAMANMARAS,1075706,24560,29322,-4762
2013,MARDIN,779738,22596,29525,-6929
2013,MUGLA,866665,35246,30687,4559
2013,MUS,412553,11070,20193,-9123
